WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
Creating summariser <summary>
Created the tree successfully using sbom-ingest.jmx
Starting standalone test @ 2026 Aug 18 14:33:17 UTC (1787063597908)
Waiting for possible Shutdown/StopTestNow/HeapDump/ThreadDump message on port 4445
summary +    161 in 00:00:12 =   13.5/s Avg:   108 Min:    13 Max:   534 Err:     0 (0.00%) Active: 10 Started: 10 Finished: 0
summary +    468 in 00:00:30 =   15.6/s Avg:   120 Min:    10 Max:   214 Err:     0 (0.00%) Active: 24 Started: 24 Finished: 0
summary =    629 in 00:00:42 =   15.0/s Avg:   117 Min:    10 Max:   534 Err:     0 (0.00%)
summary +    446 in 00:00:30 =   14.8/s Avg:   131 Min:    71 Max:   244 Err:     0 (0.00%) Active: 24 Started: 24 Finished: 0
summary =   1075 in 00:01:12 =   14.9/s Avg:   123 Min:    10 Max:   534 Err:     0 (0.00%)
summary +    448 in 00:00:30 =   15.0/s Avg:   116 Min:    69 Max:   189 Err:     0 (0.00%) Active: 24 Started: 24 Finished: 0
summary =   1523 in 00:01:42 =   14.9/s Avg:   121 Min:    10 Max:   534 Err:     0 (0.00%)
summary +    454 in 00:00:30 =   15.1/s Avg:   130 Min:    74 Max:   226 Err:     0 (0.00%) Active: 24 Started: 24 Finished: 0
summary =   1977 in 00:02:12 =   15.0/s Avg:   123 Min:    10 Max:   534 Err:     0 (0.00%)
summary +    452 in 00:00:30 =   15.1/s Avg:   121 Min:    75 Max:   201 Err:     0 (0.00%) Active: 24 Started: 24 Finished: 0
summary =   2429 in 00:02:42 =   15.0/s Avg:   122 Min:    10 Max:   534 Err:     0 (0.00%)
summary +    446 in 00:00:30 =   14.8/s Avg:   129 Min:    73 Max:   262 Err:     0 (0.00%) Active: 24 Started: 24 Finished: 0
summary =   2875 in 00:03:12 =   15.0/s Avg:   123 Min:    10 Max:   534 Err:     0 (0.00%)
summary +    448 in 00:00:30 =   15.0/s Avg:   124 Min:    72 Max:   223 Err:     0 (0.00%) Active: 24 Started: 24 Finished: 0
summary =   3323 in 00:03:42 =   15.0/s Avg:   124 Min:    10 Max:   534 Err:     0 (0.00%)
summary +    453 in 00:00:30 =   15.1/s Avg:   153 Min:     3 Max:   542 Err:    42 (9.27%) Active: 24 Started: 24 Finished: 0
