ts,releases,queued,failed,sbom_components,backend_cpu_m,backend_mem_mi,testreg_cpu_m
14:33:17,0,0,0,0,400,4807,138
14:34:18,868,659,0,2969,218,4809,379
14:35:19,1780,1320,0,3276,188,4819,347
14:36:19,2692,1981,0,3526,198,4831,352
14:37:20,3577,2694,0,3697,195,4750,326
14:38:21,4387,3239,0,3962,925,11382,340
14:39:22,5200,3753,0,4262,347,11387,390
14:40:23,6011,4313,0,4513,375,11398,366
14:41:23,6819,4875,0,4759,373,11406,346
14:42:24,7631,5438,0,5007,335,11416,349
14:43:25,8441,6005,0,5249,260,11416,290
14:44:26,9252,6558,0,5508,262,11422,361
14:45:26,10063,7121,0,5756,280,11420,265
14:46:27,10874,7677,0,6011,293,11417,368
14:47:28,11684,8239,0,6259,339,11421,277
14:48:29,12495,8803,0,6505,308,10876,347
14:49:30,13305,9358,0,6761,296,9160,301
14:50:30,14115,9923,0,7005,235,7989,257
14:51:31,14924,10476,0,7261,294,7082,259
14:52:32,15733,11062,0,7483,279,7084,280
14:53:33,16547,11603,0,7757,318,7086,301
14:54:34,17357,12186,0,7984,202,7088,249
14:55:34,18167,12770,0,8211,192,7089,267
14:56:35,18328,12652,0,8489,77,6814,43
14:57:36,18934,13100,0,8646,1037,7662,212
14:58:37,19547,13397,0,8963,283,7666,248
14:59:38,20041,13583,0,9271,195,7670,232
15:00:38,20041,13322,0,9532,145,7670,44
15:01:39,20041,13066,0,9788,120,7671,42
15:02:40,20041,12808,0,10046,140,7661,47
15:03:41,20041,12555,0,10299,138,7661,45
15:04:41,20041,12304,0,10550,135,7661,47
15:05:42,20041,12070,0,10784,131,7661,48
15:06:43,20041,11813,0,11041,102,7661,45
15:07:44,20041,11541,0,11311,121,7661,41
15:08:44,20041,11291,0,11561,148,6576,43
15:09:45,20041,11041,0,11811,146,5492,44
15:10:46,20041,10791,0,12061,143,4678,46
15:11:47,20041,10542,0,12311,137,4679,45
15:12:47,20041,10291,0,12561,137,4678,43
15:13:48,20041,10041,0,12811,118,4679,43
15:14:49,20041,9791,0,13061,106,4678,47
15:15:49,20041,9541,0,13311,124,4678,45
15:16:50,20041,9291,0,13561,140,4137,40
15:17:51,20041,9043,0,13811,1091,7469,43
15:18:52,20041,8791,0,14061,154,8522,42
15:19:52,20041,8541,0,14311,171,8523,42
15:20:53,20041,8291,0,14561,145,8523,44
15:21:54,20041,8041,0,14811,139,8523,44
15:22:54,20041,7791,0,15061,125,8523,41
15:23:55,20041,7541,0,15311,117,8523,22
15:24:56,20041,7291,0,15561,137,8522,40
15:25:56,20041,7041,0,15811,141,8523,37
15:26:57,20041,6791,0,16061,138,8523,45
15:27:58,20041,6541,0,16311,140,8523,44
15:28:59,20041,6291,0,16561,142,7709,45
15:29:59,20041,6041,0,16811,164,6444,44
15:31:00,20041,5791,0,17061,127,5450,47
15:32:01,20041,5541,0,17311,154,5004,42
15:33:02,20041,5291,0,17561,150,5004,36
15:34:02,20041,5041,0,17811,139,5004,46
15:35:03,20041,4791,0,18063,122,5004,44
15:36:04,20041,4540,0,18313,141,5005,34
15:37:05,20041,4288,0,18564,142,4642,44
15:38:05,20041,4029,0,18825,1057,7473,42
15:39:06,20041,3786,0,19067,82,7745,1
15:40:07,20041,3517,0,19337,105,7745,35
15:41:08,20041,3283,0,19570,7,7746,17
15:42:08,20041,3032,0,19820,103,7746,29
15:43:09,20041,2754,0,20100,141,7745,18
15:44:10,20041,2523,0,20331,18,7745,16
15:45:11,20041,2267,0,20587,138,7746,15
15:46:11,20041,1988,0,20866,91,7746,27
15:47:12,20041,1752,0,20987,9,7745,1
15:48:13,20041,1466,0,21001,26,7746,5
15:49:14,20041,1240,0,21003,16,6661,1
15:50:14,20041,985,0,21003,18,5668,1
15:51:15,20041,728,0,21003,14,4763,2
15:52:16,20041,442,0,21003,71,4583,1
15:53:17,20041,186,0,21003,76,4582,1
15:54:17,20041,0,0,21003,82,4583,1
