ts,releases,queued,failed,sbom_components,backend_cpu_m,backend_mem_mi,registry_cpu_m
02:06:36,0,0,0,0,9,11374,1
02:07:36,160,160,0,0,80,11378,2070
02:08:37,361,361,0,0,73,11380,2092
02:09:37,566,564,0,100,56,11386,2115
02:10:38,756,753,0,149,56,11373,2132
02:11:39,958,955,0,196,48,10020,2113
02:12:39,1160,1156,0,196,53,8395,2083
02:13:40,1362,1356,0,294,51,6771,2112
02:14:40,1565,1558,0,340,45,6232,2103
02:15:41,1765,1757,0,383,64,6233,2127
02:16:42,1967,1958,0,427,49,6235,2060
02:17:42,2168,2158,0,471,47,6238,2097
02:18:43,2371,2360,0,515,46,6241,2100
02:19:43,2574,2562,0,556,51,5700,2117
02:20:44,2773,2760,0,598,135,4889,2115
02:21:44,2976,2962,0,639,45,4168,2121
02:22:45,3178,3163,0,678,46,3759,2087
02:23:46,3380,3364,0,721,41,3763,2084
02:24:46,3582,3565,0,763,46,3765,2076
02:25:47,3783,3764,0,848,52,3766,2126
02:26:47,3985,3965,0,880,45,3769,2108
02:27:48,4187,4166,0,918,44,3589,2130
02:28:49,4389,4367,0,953,107,3232,2157
02:29:49,4588,4565,0,988,41,2962,2157
02:30:50,4784,4760,0,1018,61,2603,2086
02:31:50,4988,4963,0,1051,64,2605,2113
02:32:51,5185,5159,0,1081,38,2608,2095
02:33:52,5389,5362,0,1109,49,2606,2086
02:34:52,5590,5562,0,1169,43,2608,2134
02:35:53,5789,5760,0,1199,43,2513,2136
02:36:53,5990,5959,0,1228,42,2425,2073
02:37:54,6190,6158,0,1255,41,2327,2098
02:38:55,6389,6356,0,1284,48,2239,2103
02:39:55,6591,6557,0,1311,47,2149,2100
02:40:56,6793,6758,0,1333,39,2152,2101
02:41:56,6993,6957,0,1363,42,2152,2100
02:42:57,7197,7160,0,1393,46,2154,2103
02:43:58,7397,7359,0,1415,39,2152,2087
02:44:58,7601,7562,0,1437,40,2154,2074
02:45:59,7797,7757,0,1466,44,2060,2095
02:46:59,8000,7959,0,1492,37,2062,2119
02:48:00,8201,8159,0,1514,45,2007,2102
02:49:01,8402,8359,0,1539,43,2010,2101
02:50:01,8599,8554,0,1581,41,2008,2121
02:51:02,8799,8753,0,1605,42,2010,2099
02:52:03,9000,8953,0,1627,44,2005,2061
02:53:03,9201,9153,0,1650,40,2007,2089
02:54:04,9401,9352,0,1674,62,1935,2097
02:55:04,9605,9555,0,1692,43,1937,2065
02:56:05,9805,9755,0,1693,62,1935,2083
02:57:06,10005,9955,0,1694,46,1937,2090
02:58:06,10206,10156,0,1696,45,1935,2110
02:59:07,10408,10358,0,1698,48,1919,2071
03:00:07,10609,10559,0,1698,43,1919,2085
03:01:08,10811,10760,0,1714,46,1921,2107
03:02:09,11012,10960,0,1734,42,1919,2084
03:03:09,11212,11159,0,1757,38,1922,2084
03:04:10,11411,11357,0,1780,44,1916,2076
03:05:10,11611,11556,0,1799,40,1918,2092
03:06:11,11814,11758,0,1822,45,1915,2110
03:07:12,12014,11957,0,1870,41,1918,2083
03:08:12,12216,12157,0,1884,41,1920,2138
03:09:13,12417,12358,0,1884,38,1922,2060
03:10:13,12610,12550,0,1902,46,1917,2045
03:11:14,12809,12748,0,1916,42,1919,2103
03:12:15,13006,12944,0,1931,42,1921,2103
03:13:15,13210,13147,0,1946,45,1923,2106
