ts,backend_cpu_m,backend_mem_mi,pg_cpu_m,releases,queued,failed,sbom_components,restarts
01:12:59,71,3094,33,364,364,0,0,0
01:13:29,56,3096,43,464,464,0,0,0
01:14:00,65,3096,59,564,564,0,0,0
01:14:31,75,3099,48,666,666,0,0,0
01:15:01,82,3100,61,767,767,0,0,0
01:15:32,46,3100,47,868,868,0,0,0
01:16:03,51,3101,62,968,968,0,0,0
01:16:34,54,3101,47,1069,1069,0,0,0
01:17:04,71,3102,75,1170,1170,0,0,0
01:17:35,44,3103,39,1271,1271,0,0,0
01:18:06,52,3103,53,1376,1376,0,0,0
01:18:36,60,3103,44,1476,1476,0,0,0
