22:53:12 rearm-backend-6d79d5dcc8-rj9w4         169m   4513Mi   
22:53:12 rearm-keycloak-0                       2m     723Mi    
22:53:12 rearm-keycloak-postgres-0              1m     33Mi     
22:53:12 rearm-oci-artifact-5c8686f45c-mmxzz    1m     42Mi     
22:53:12 rearm-postgresql-0                     171m   359Mi    
22:53:12 rearm-rebom-backend-768fd58455-46nwc   0m     125Mi    
22:53:12 rearm-rebom-backend-768fd58455-dp9ps   1m     93Mi     
22:53:12 rearm-rebom-backend-768fd58455-tmqdc   0m     59Mi     
22:53:12 rearm-rebom-backend-768fd58455-vkfb5   1m     133Mi    
22:53:12 rearm-rebom-postgres-0                 12m    154Mi    
22:53:12 rearm-ui-5c9b8ddf9d-krkqk              1m     3Mi      
22:53:12 testreg-66bb8f476c-wt2mf               1m     1139Mi   
22:53:12 zottest-ff7cfd65c-xbgvk                8m     72Mi     
22:53:43 rearm-backend-6d79d5dcc8-rj9w4         194m   4515Mi   
22:53:43 rearm-keycloak-0                       2m     723Mi    
22:53:43 rearm-keycloak-postgres-0              1m     33Mi     
22:53:43 rearm-oci-artifact-5c8686f45c-mmxzz    159m   64Mi     
22:53:43 rearm-postgresql-0                     134m   290Mi    
22:53:43 rearm-rebom-backend-768fd58455-46nwc   13m    122Mi    
22:53:43 rearm-rebom-backend-768fd58455-dp9ps   35m    74Mi     
22:53:43 rearm-rebom-backend-768fd58455-tmqdc   29m    70Mi     
22:53:43 rearm-rebom-backend-768fd58455-vkfb5   67m    114Mi    
22:53:43 rearm-rebom-postgres-0                 153m   163Mi    
22:53:43 rearm-ui-5c9b8ddf9d-krkqk              7m     3Mi      
22:53:43 testreg-66bb8f476c-wt2mf               1m     1139Mi   
22:53:43 zottest-ff7cfd65c-xbgvk                990m   87Mi     
22:54:14 rearm-backend-6d79d5dcc8-rj9w4         206m    4521Mi   
22:54:14 rearm-keycloak-0                       2m      723Mi    
22:54:14 rearm-keycloak-postgres-0              1m      33Mi     
22:54:14 rearm-oci-artifact-5c8686f45c-mmxzz    249m    47Mi     
22:54:14 rearm-postgresql-0                     239m    302Mi    
22:54:14 rearm-rebom-backend-768fd58455-46nwc   61m     110Mi    
22:54:14 rearm-rebom-backend-768fd58455-dp9ps   27m     92Mi     
22:54:14 rearm-rebom-backend-768fd58455-tmqdc   26m     86Mi     
22:54:14 rearm-rebom-backend-768fd58455-vkfb5   42m     113Mi    
22:54:14 rearm-rebom-postgres-0                 299m    175Mi    
22:54:14 rearm-ui-5c9b8ddf9d-krkqk              7m      3Mi      
22:54:14 testreg-66bb8f476c-wt2mf               1m      1139Mi   
22:54:14 zottest-ff7cfd65c-xbgvk                1902m   90Mi     
