ts,releases,queued,failed
00:57:37,0,0,0
00:58:37,170,170,0
00:59:37,370,369,0
01:00:37,567,565,0
01:01:38,766,763,0
01:02:38,965,961,0
01:03:38,1162,1157,0
01:04:38,1364,1358,0
01:05:39,1563,1556,0
01:06:39,1762,1754,0
01:07:39,1960,1951,0
01:08:39,2160,2150,0
01:09:40,2359,2347,0
01:10:40,2551,2539,0
01:11:40,2753,2740,0
01:12:40,2951,2936,0
01:13:41,3148,3132,0
01:14:41,3349,3332,0
01:15:41,3548,3530,0
01:16:42,3747,3728,0
01:17:42,3946,3926,0
01:18:42,4144,4123,0
01:19:42,4346,4324,0
01:20:43,4546,4524,0
01:21:43,4747,4723,0
01:22:43,4945,4921,0
01:23:43,5142,5116,0
01:24:44,5346,5319,0
01:25:44,5544,5516,0
01:26:44,5744,5715,0
01:27:44,5945,5915,0
01:28:45,6143,6112,0
01:29:45,6346,6314,0
01:30:45,6538,6505,0
01:31:45,6737,6703,0
01:32:46,6936,6901,0
01:33:46,7136,7100,0
01:34:46,7337,7300,0
01:35:47,7537,7500,0
01:36:47,7738,7700,0
01:37:47,7940,7901,0
01:38:47,8136,8096,0
01:39:48,8339,8298,0
01:40:48,8539,8497,0
01:41:48,8737,8694,0
01:42:48,8941,8897,0
01:43:49,9138,9093,0
01:44:49,9340,9294,0
01:45:49,9540,9493,0
01:46:50,9739,9691,0
01:47:50,9935,9873,0
01:48:50,10008,9759,0
01:49:50,10008,9535,0
01:50:51,10008,9285,0
01:51:51,10008,9040,0
01:52:51,10008,8795,0
01:53:52,10008,8541,0
01:54:52,10008,8297,0
01:55:52,10008,8044,0
01:56:52,10008,7802,0
01:57:53,10008,7603,0
01:58:53,10008,7352,0
01:59:53,10008,7110,0
02:00:54,10008,6861,0
02:01:54,10008,6620,0
02:02:54,10008,6371,0
02:03:54,10008,6121,0
02:04:55,10008,5874,0
02:05:55,10008,5643,0
02:06:55,10008,5404,0
02:07:55,10008,5165,0
02:08:56,10008,4921,0
02:09:56,10008,4680,0
02:10:56,10008,4443,0
02:11:57,10008,4199,0
02:12:57,10008,3955,0
02:13:57,10008,3728,0
02:14:57,10008,3496,0
02:15:58,10008,3236,0
02:16:58,10008,2987,0
02:17:58,10008,2759,0
02:18:59,10008,2501,0
02:19:59,10008,2243,0
02:20:59,10008,1989,0
02:21:59,10008,1742,0
02:23:00,10008,1485,0
02:24:00,10008,1241,0
02:25:00,10008,1021,0
02:26:01,10008,784,0
02:27:01,10008,556,0
02:28:01,10008,320,0
02:29:01,10008,84,0
02:30:02,10008,0,0
