ts,releases,queued,failed
13:07:01,0,0,0
13:08:01,0,0,0
13:09:02,134,134,0
13:10:02,333,333,0
13:11:02,528,527,0
13:12:03,725,723,0
13:13:03,923,920,0
13:14:03,1121,1117,0
13:15:03,1322,1316,0
13:16:04,1520,1513,0
13:17:04,1716,1708,0
13:18:04,1916,1907,0
13:19:05,2114,2105,0
13:20:05,2312,2302,0
13:21:05,2511,2500,0
13:22:05,2711,2698,0
13:23:06,2905,2891,0
13:24:06,3099,3085,0
13:25:06,3288,3273,0
13:26:07,3475,3459,0
13:27:07,3672,3655,0
13:28:07,3872,3854,0
13:29:07,4069,4050,0
13:30:08,4263,4243,0
13:31:08,4461,4440,0
13:32:08,4658,4636,0
13:33:09,4851,4828,0
13:34:09,5049,5025,0
13:35:09,5243,5218,0
13:36:10,5444,5418,0
13:37:10,5641,5614,0
13:38:10,5842,5813,0
13:39:10,6037,6008,0
13:40:11,6233,6203,0
13:41:11,6432,6401,0
13:42:11,6634,6602,0
13:43:12,6833,6800,0
13:44:12,7032,6998,0
13:45:12,7231,7196,0
13:46:13,7429,7393,0
13:47:13,7629,7592,0
13:48:13,7831,7794,0
13:49:13,8027,7989,0
13:50:14,8221,8182,0
13:51:14,8420,8380,0
13:52:14,8619,8578,0
13:53:15,8819,8777,0
13:54:15,9016,8973,0
13:55:15,9215,9171,0
13:56:16,9414,9369,0
13:57:16,9612,9565,0
13:58:16,9813,9765,0
13:59:17,10001,9891,0
14:00:17,10008,9707,0
14:01:17,10008,9479,0
14:02:18,10008,9239,0
14:03:18,10008,8995,0
14:04:18,10008,8785,0
14:05:18,10008,8577,0
14:06:19,10008,8370,0
14:07:19,10008,8163,0
14:08:19,10008,7957,0
14:09:20,10008,7750,0
14:10:20,10008,7545,0
14:11:20,10008,7341,0
14:12:21,10026,7157,0
14:13:21,10217,7325,0
14:14:21,10415,7523,0
14:15:22,10610,7717,0
14:16:22,10809,7916,1
14:17:22,11005,8111,1
14:18:23,11109,8103,0
14:19:23,11109,7912,0
14:20:23,11109,7734,0
14:21:24,11109,7535,0
14:22:24,11109,7353,0
14:23:24,11109,7153,0
14:24:25,11109,6967,0
14:25:25,11109,6782,0
14:26:25,11109,6597,0
14:27:26,11109,6398,0
14:28:26,11109,6205,0
14:29:26,11109,6011,0
14:30:27,11829,6725,520
14:31:27,11829,6725,2356
14:32:27,11829,6725,3893
14:33:28,11829,0,105
